Pièce		Occurrence	Traduction anglaise	Type	Zone géographique	Continent	Coordonnées	ID	Remarque	Auteur	Titre	Genre	Représentation	Décennie	Publication	Décennie			
CORNEILLEP_ILLUSIONCOMIQUE	1	Parnasse	Mount Parnassus	Montagne	Grèce	Europe	38.535435, 22.621902	https://pleiades.stoa.org/places/541012		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
																			
CORNEILLEP_MEDEE	9	Corinthe	Corinth	Ville	Grèce	Europe	37.8980016198, 22.8999795422	https://pleiades.stoa.org/places/570182		Corneille, Pierre	Médée	Tragédie	1635	30	1639	30	http://dramacode.github.io/tcp5/corneillep_medee.xml	https://catalogue.bnf.fr/ark:/12148/cb30271709f	https://gallica.bnf.fr/ark:/12148/bpt6k71339h
CORNEILLEP_MEDEE	2	Lemnos	Lemnos	Île	Grèce	Europe	39.916667, 25.25	https://pleiades.stoa.org/places/550693		Corneille, Pierre	Médée	Tragédie	1635	30	1639	30	http://dramacode.github.io/tcp5/corneillep_medee.xml	https://catalogue.bnf.fr/ark:/12148/cb30271709f	https://gallica.bnf.fr/ark:/12148/bpt6k71339h
CORNEILLEP_MEDEE	2	Phase	Rioni	Fleuve	Grèce	Europe	42.1237505, 42.2161531	https://pleiades.stoa.org/places/857276		Corneille, Pierre	Médée	Tragédie	1635	30	1639	30	http://dramacode.github.io/tcp5/corneillep_medee.xml	https://catalogue.bnf.fr/ark:/12148/cb30271709f	https://gallica.bnf.fr/ark:/12148/bpt6k71339h
CORNEILLEP_MEDEE	6	Thessalie	Thessalia/Thessaly	Région	Grèce	Europe	37.5, 22.5	https://pleiades.stoa.org/places/991374		Corneille, Pierre	Médée	Tragédie	1635	30	1639	30	http://dramacode.github.io/tcp5/corneillep_medee.xml	https://catalogue.bnf.fr/ark:/12148/cb30271709f	https://gallica.bnf.fr/ark:/12148/bpt6k71339h
CORNEILLEP_MEDEE	1	Asie	Asia	Continent		Asie	29.84064, 89.29688	http://www.geonames.org/6255147		Corneille, Pierre	Médée	Tragédie	1635	30	1639	30	http://dramacode.github.io/tcp5/corneillep_medee.xml	https://catalogue.bnf.fr/ark:/12148/cb30271709f	https://gallica.bnf.fr/ark:/12148/bpt6k71339h
CORNEILLEP_MEDEE	4	Athènes	Athens	Ville	Grèce	Europe	37.9728191495, 23.7237438519	https://pleiades.stoa.org/places/579885		Corneille, Pierre	Médée	Tragédie	1635	30	1639	30	http://dramacode.github.io/tcp5/corneillep_medee.xml	https://catalogue.bnf.fr/ark:/12148/cb30271709f	https://gallica.bnf.fr/ark:/12148/bpt6k71339h
CORNEILLEP_MEDEE	1	Achéron	Acheron	Fleuve	Grèce	Europe	39.2348296, 20.4831346	https://pleiades.stoa.org/places/530769		Corneille, Pierre	Médée	Tragédie	1635	30	1639	30	http://dramacode.github.io/tcp5/corneillep_medee.xml	https://catalogue.bnf.fr/ark:/12148/cb30271709f	https://gallica.bnf.fr/ark:/12148/bpt6k71339h
CORNEILLEP_MEDEE	3	Grèce	Greece	Pays	Grèce	Europe	39, 22	http://www.geonames.org/390903		Corneille, Pierre	Médée	Tragédie	1635	30	1639	30	http://dramacode.github.io/tcp5/corneillep_medee.xml	https://catalogue.bnf.fr/ark:/12148/cb30271709f	https://gallica.bnf.fr/ark:/12148/bpt6k71339h
CORNEILLEP_MEDEE	2	Scythie	Scythie	Région	Orient	Asie	42.5, 27.5	https://pleiades.stoa.org/places/991379	Iraniens mais pas en Iran	Corneille, Pierre	Médée	Tragédie	1635	30	1639	30	http://dramacode.github.io/tcp5/corneillep_medee.xml	https://catalogue.bnf.fr/ark:/12148/cb30271709f	https://gallica.bnf.fr/ark:/12148/bpt6k71339h
CORNEILLEP_MEDEE	1	Afrique	Africa	Continent		Afrique	32.5, 7.5	https://pleiades.stoa.org/places/775		Corneille, Pierre	Médée	Tragédie	1635	30	1639	30	http://dramacode.github.io/tcp5/corneillep_medee.xml	https://catalogue.bnf.fr/ark:/12148/cb30271709f	https://gallica.bnf.fr/ark:/12148/bpt6k71339h
																			
CORNEILLET_AMOURALAMODE	2	Tuileries	Tuileries	Lieu	France	Europe	48.86308, 2.32841	http://www.geonames.org/6452747		Corneille, Thomas	L’Amour à la mode	Comédie	1653	50	1653	50	http://dramacode.github.io/tcp5/corneillet_amouralamode.xml	https://catalogue.bnf.fr/ark:/12148/cb30272159k	
																			
CORNEILLET_ARIANE	4	Crète	Creta	Région	Grèce	Europe	35.0627201667, 24.9469437222	https://pleiades.stoa.org/places/981517		Corneille, Thomas	Ariane	Tragédie	1672	70	1672	70	http://dramacode.github.io/tcp5/corneillet_ariane.xml	https://catalogue.bnf.fr/ark:/12148/cb30272162g	https://gallica.bnf.fr/ark:/12148/bpt6k5772310n
